GBP-IRR ratio,date,date(shamsi)
"364,560",4/16/2022,1401/01/27
"635,780",4/16/2023,1402/01/27
"343,800",4/17/2021,1400/01/28
"360,040",4/17/2022,1401/01/28
"642,590",4/17/2023,1402/01/28
"193,430",4/18/2020,1399/01/30
"339,490",4/18/2021,1400/01/29
"358,570",4/18/2022,1401/01/29
"642,910",4/18/2023,1402/01/29
"192,720",4/19/2020,1399/01/31
"340,040",4/19/2021,1400/01/30
"362,030",4/19/2022,1401/01/30
"639,510",4/19/2023,1402/01/30
"199,880",4/2/2020,1399/01/14
"200,500",4/20/2020,1399/02/01
"339,380",4/20/2021,1400/01/31
"363,090",4/20/2022,1401/01/31
"643,483",4/20/2023,1402/01/31
"201,530",4/21/2020,1399/02/02
"334,170",4/21/2021,1400/02/01
"363,090",4/21/2022,1401/02/01
"201,000",4/22/2020,1399/02/03
"334,170",4/22/2021,1400/02/02
"201,000",4/23/2020,1399/02/04
"332,420",4/24/2021,1400/02/04
"353,890",4/24/2022,1401/02/04
"642,368",4/24/2023,1402/02/04
"200,140",4/25/2020,1399/02/06
"331,970",4/25/2021,1400/02/05
"352,560",4/25/2022,1401/02/05
"642,170",4/25/2023,1402/02/05
"200,890",4/26/2020,1399/02/07
"332,520",4/26/2021,1400/02/06
"351,600",4/26/2022,1401/02/06
"665,880",4/26/2023,1402/02/06
"201,270",4/27/2020,1399/02/08
"333,200",4/27/2021,1400/02/07
"350,170",4/27/2022,1401/02/07
"665,880",4/27/2023,1402/02/07
"203,240",4/28/2020,1399/02/09
"331,120",4/28/2021,1400/02/08
"350,170",4/28/2022,1401/02/08
"202,030",4/29/2020,1399/02/10
"331,120",4/29/2021,1400/02/09
"689,980",4/29/2023,1402/02/09
"348,240",4/3/2021,1400/01/14
"358,250",4/3/2022,1401/01/14
"638,360",4/3/2023,1402/01/14
"202,030",4/30/2020,1399/02/11
"354,130",4/30/2022,1401/02/10
"696,030",4/30/2023,1402/02/10
"202,340",4/4/2020,1399/01/16
"349,780",4/4/2021,1400/01/15
"365,170",4/4/2022,1401/01/15
"636,520",4/4/2023,1402/01/15
"201,100",4/5/2020,1399/01/17
"352,650",4/5/2021,1400/01/16
"359,650",4/5/2022,1401/01/16
"631,030",4/5/2023,1402/01/16
"199,620",4/6/2020,1399/01/18
"348,440",4/6/2021,1400/01/17
"362,430",4/6/2022,1401/01/17
"632,957",4/6/2023,1402/01/17
"198,340",4/7/2020,1399/01/19
"344,270",4/7/2021,1400/01/18
"362,430",4/7/2022,1401/01/18
"198,340",4/8/2020,1399/01/20
"344,270",4/8/2021,1400/01/19
"624,640",4/8/2023,1402/01/19
"366,110",4/9/2022,1401/01/20
"622,850",4/9/2023,1402/01/20
"309,380",5/1/2021,1400/02/11
"353,280",5/1/2022,1401/02/11
"681,620",5/1/2023,1402/02/11
"208,150",5/10/2020,1399/02/21
"317,951",5/10/2021,1400/02/20
"362,044",5/10/2022,1401/02/20
"665,450",5/10/2023,1402/02/20
"209,980",5/11/2020,1399/02/22
"320,470",5/11/2021,1400/02/21
"367,080",5/11/2022,1401/02/21
"665,450",5/11/2023,1402/02/21
"209,580",5/12/2020,1399/02/23
"321,360",5/12/2021,1400/02/22
"377,000",5/12/2022,1401/02/22
"205,930",5/13/2020,1399/02/24
"639,680",5/13/2023,1402/02/23
"205,930",5/14/2020,1399/02/25
"374,880",5/14/2022,1401/02/24
"652,770",5/14/2023,1402/02/24
"325,890",5/15/2021,1400/02/25
"373,900",5/15/2022,1401/02/25
"644,969",5/15/2023,1402/02/25
"205,160",5/16/2020,1399/02/27
"326,170",5/16/2021,1400/02/26
"376,970",5/16/2022,1401/02/26
"215,340",5/17/2020,1399/02/28
"331,210",5/17/2021,1400/02/27
"373,430",5/17/2022,1401/02/27
"636,320",5/17/2023,1402/02/27
"217,110",5/18/2020,1399/02/29
"326,360",5/18/2021,1400/02/28
"371,620",5/18/2022,1401/02/28
"636,320",5/18/2023,1402/02/28
"219,900",5/19/2020,1399/02/30
"327,870",5/19/2021,1400/02/29
"371,620",5/19/2022,1401/02/29
"201,350",5/2/2020,1399/02/13
"309,650",5/2/2021,1400/02/12
"353,280",5/2/2022,1401/02/12
"675,380",5/2/2023,1402/02/12
"216,880",5/20/2020,1399/02/31
"327,870",5/20/2021,1400/02/30
"645,190",5/20/2023,1402/02/30
"216,880",5/21/2020,1399/03/01
"378,710",5/21/2022,1401/02/31
"650,130",5/21/2023,1402/02/31
"329,550",5/22/2021,1400/03/01
"380,130",5/22/2022,1401/03/01
"648,300",5/22/2023,1402/03/01
"216,170",5/23/2020,1399/03/03
"332,510",5/23/2021,1400/03/02
"377,890",5/23/2022,1401/03/02
"637,030",5/23/2023,1402/03/02
"329,590",5/24/2021,1400/03/03
"378,100",5/24/2022,1401/03/03
"645,530",5/24/2023,1402/03/03
"331,090",5/25/2021,1400/03/04
"380,740",5/25/2022,1401/03/04
"645,530",5/25/2023,1402/03/04
"212,830",5/26/2020,1399/03/06
"332,290",5/26/2021,1400/03/05
